Pursat_PV,Phnom_Penh_PV,Siem_Reap_PV,Kampot_wind,Viet_wind
0.0,0.0,0.0,53385.74273684465,53387.89241056534
0.0,0.0,0.0,53387.68696033303,53389.34063234974
0.0,0.0,0.0,53386.29441868861,53382.00389270277
0.0,0.0,0.0,53389.838495473115,53386.55682592604
0.0,0.0,0.0,53403.484100996284,53393.981852209414
0.0,0.0,0.0,53403.23550860295,53394.276941055585
0.0,0.0,0.0,53404.590203722975,53393.71389402783
7143.595924583127,8635.460040540593,7136.769202830036,47025.48210523499,47264.61590679904
29654.306548216053,30890.159930822167,29590.21635102731,50118.57086529436,52673.95094643673
48539.96473831093,49055.786553996564,48174.10181117014,51455.648604339134,53266.97515519791
61402.46103626929,61348.64677594742,60145.54683369206,52630.111664291006,53160.69802850306
68847.72404563024,68360.39862343759,66579.55803985188,52802.64062283103,52966.6831074167
71093.85079392543,69951.42516418424,68111.48976188422,52773.039075428285,52718.13237435841
68364.04066160777,67119.35074036515,66721.28791025151,53092.059239317634,52668.21528867983
61252.43870127561,59267.464994953385,58794.92079044771,53271.34853795222,52834.48361057193
49038.58229005092,46437.247414449856,45935.773212170454,53300.773567788485,53042.39502496264
32194.08455842198,28597.73581583775,28348.075677975514,53308.56328140365,53015.1992224468
10922.80621682425,8410.39096289462,8412.245135895973,53288.98105213751,52798.444846986255
0.0,0.0,0.0,53292.81108239007,52607.995103498084
0.0,0.0,0.0,53283.65482985532,52608.086218423865
0.0,0.0,0.0,53261.30452321486,52929.33422601815
0.0,0.0,0.0,53248.5489887668,53305.67262729759
0.0,0.0,0.0,53329.02670679696,53373.82902773517
0.0,0.0,0.0,53373.79602211204,53291.04680625267
0.0,0.0,0.0,53285.67899169621,52896.00966610339
0.0,0.0,0.0,53179.28782798149,53243.84231715519
0.0,0.0,0.0,53227.04832771186,53298.512023889896
0.0,0.0,0.0,53369.80578735523,53404.590203722975
0.0,0.0,0.0,53404.590203722975,53404.590203722975
0.0,0.0,0.0,53404.590203722975,53387.878646174744
0.0,0.0,0.0,53404.590203722975,53360.60380897707
5218.974397531797,7564.338647228978,5532.123461036731,53393.55574046942,53387.99590916239
25569.38381098778,28892.232062638417,26119.177132877405,53394.611827089946,53393.89230646517
